Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price
40940,1365.68,466.84,42.79,-6.24
40969,1408.47,488.72,-10.56,21.88
41000,1397.91,501.96,-87.58,13.24
41030,1310.33,477.74,51.83,-24.22
41061,1362.16,502.35,17.16,24.61
41091,1379.32,511.35,27.26,9
41122,1406.58,509.96,34.09,-1.39
41153,1440.67,498.77,-28.51,-11.19
41183,1412.16,493.81,4.02,-4.96
41214,1416.18,490.81,10.01,-3
41244,1426.19,506.6,71.92,15.79
41275,1498.11,524.5,16.57,17.9
41306,1514.68,530.02,54.51,5.52
41334,1569.19,543.37,28.38,13.35
41365,1597.57,578.8032,33.17,35.4332
41395,1630.74,543.0372,-24.46,-35.766
41426,1606.28,530.1206,79.45,-12.9166
41456,1685.73,534.2805,-52.76,4.1599
41487,1632.97,495.6078,48.58,-38.6727
41518,1681.55,508.8164,74.99,13.2086
41548,1756.54,530.4855,49.27,21.6691
41579,1805.81,501.6215,42.55,-28.864
41609,1848.36,499.8539,-65.77,-1.7676
41640,1782.59,519.7437,76.86,19.8898
41671,1859.45,544.2288,12.89,24.4851
41699,1872.34,544.4619,11.61,0.2331
41730,1883.95,561.5538,39.62,17.0919
41760,1923.57,573.416,36.66,11.8622
41791,1960.23,576.9492,-29.56,3.5332
41821,1930.67,576.232,72.7,-0.7172
41852,2003.37,591.5046,-31.08,15.2726
41883,1972.29,553.4208,45.76,-38.0838
41913,2018.05,607.4151,49.51,53.9943
41944,2067.56,617.6083,-8.66,10.1932
41974,2058.9,626.0458,-63.91,8.4375
42005,1994.99,667.1763,109.51,41.1305
42036,2104.5,642.4844,-36.61,-24.6919
42064,2067.89,650.3013,17.62,7.8169
42095,2085.51,613.7739,21.88,-36.5274
42125,2107.39,611.2535,-44.28,-2.5204
42156,2063.11,579.9781,40.73,-31.2754
42186,2103.84,611.8,-131.66,31.8219
42217,1972.18,572.2578,-52.15,-39.5422
42248,1920.03,585.6221,159.33,13.3643
42278,2079.36,619.0776,1.05,33.4555
42309,2080.41,613.9966,-36.47,-5.081
42339,2043.94,621.7582,-103.7,7.7616
42370,1940.24,600.066,-8.01,-21.6922
42401,1932.23,595.96,127.51,-4.106
42430,2059.74,653.6649,,57.7049
